Country,Country Speed,Mirror Name,Protocols,Hostnames,Mirror Speed,Status
Argentina,10 Gbps,SiTSA Telecomunicaciones,"https://mirror.sitsa.com.ar/ubuntu-releases/, http://mirror.sitsa.com.ar/ubuntu-releases/",mirror.sitsa.com.ar,10 Gbps,N/A
Armenia,2 Gbps,GNC-ALFA CJSC,http://ubuntu.mirror.gnc.am/ubuntu-releases/,ubuntu.mirror.gnc.am,2 Gbps,N/A
Australia,33 Gbps,Internet Association of Australia Inc.,"https://mirror.internet.asn.au/pub/ubuntu/releases/, http://mirror.internet.asn.au/pub/ubuntu/releases/, rsync://mirror.internet.asn.au/ubuntu-releases/",mirror.internet.asn.au,20 Gbps,N/A
Australia,33 Gbps,DataMossa,"https://mirror.datamossa.io/ubuntu/releases/, http://mirror.datamossa.io/ubuntu/releases/, rsync://mirror.datamossa.io/ubuntu/releases/",mirror.datamossa.io,10 Gbps,N/A
Australia,33 Gbps,Fremont Cabal Internet Exchange,"https://lchs.mm.fcix.net/ubuntu-releases/, http://lchs.mm.fcix.net/ubuntu-releases/, rsync://lchs.mm.fcix.net/ubuntu-releases/",lchs.mm.fcix.net,1 Gbps,N/A
Australia,33 Gbps,Hostcentral,"http://mirror.as24220.net/pub/ubuntu-releases/, ftp://mirror.as24220.net/pub/ubuntu-releases/, rsync://mirror.as24220.net/ubuntu-releases/",mirror.as24220.net,1 Gbps,N/A
Australia,33 Gbps,Servers Australia,http://ubuntu.mirror.serversaustralia.com.au/ubuntu-releases/,ubuntu.mirror.serversaustralia.com.au,1 Gbps,N/A
Austria,32 Gbps,Easyname GmbH,"https://mirror.easyname.at/ubuntu-releases/, http://mirror.easyname.at/ubuntu-releases/, ftp://mirror.easyname.at/ubuntu-releases/, rsync://mirror.easyname.at/ubuntu-releases/",mirror.easyname.at,20 Gbps,N/A
Austria,32 Gbps,ANEXIA Internetdienstleistungs GmbH,"https://ubuntu.anexia.at/ubuntu-releases/, http://ubuntu.anexia.at/ubuntu-releases/",ubuntu.anexia.at,10 Gbps,N/A
Austria,32 Gbps,Niranjan Fartare,"https://at.ubuntu.niranjan.co/, http://at.ubuntu.niranjan.co/, rsync://at.ubuntu.niranjan.co/ubuntu/",at.ubuntu.niranjan.co,2 Gbps,N/A
Bangladesh,20 Gbps,Limda Host,"https://mirror.limda.net/ubuntu-releases/, http://mirror.limda.net/ubuntu-releases/",mirror.limda.net,10 Gbps,N/A
Bangladesh,20 Gbps,XeonBD,"https://mirror.xeonbd.com/ubuntu-releases/, http://mirror.xeonbd.com/ubuntu-releases/",mirror.xeonbd.com,10 Gbps,N/A
Belgium,10 Gbps,Unix-Solutions,"https://mirror.unix-solutions.be/ubuntu-releases/, http://mirror.unix-solutions.be/ubuntu-releases/, rsync://mirror.unix-solutions.be/ubuntu-releases/",mirror.unix-solutions.be,10 Gbps,N/A
Brazil,22 Gbps,Universidade Estadual de Ponta Grossa,"https://mirror.uepg.br/ubuntu-releases/, http://mirror.uepg.br/ubuntu-releases/, rsync://mirror.uepg.br/ubuntu-releases/",mirror.uepg.br,10 Gbps,N/A
Brazil,22 Gbps,C3SL/UFPR,"http://ubuntu.c3sl.ufpr.br/releases/, ftp://ubuntu.c3sl.ufpr.br/releases/, rsync://ubuntu.c3sl.ufpr.br/releases/",ubuntu.c3sl.ufpr.br,10 Gbps,N/A
Brazil,22 Gbps,Prefeitura Municipal de Campo Largo,https://deb.campolargo.pr.gov.br/ubuntu/releases/,deb.campolargo.pr.gov.br,1 Gbps,N/A
Brazil,22 Gbps,LAS-IC-Unicamp,"http://www.las.ic.unicamp.br/pub/ubuntu-releases/, ftp://ftp.las.ic.unicamp.br/pub/ubuntu-releases/, rsync://rsync.las.ic.unicamp.br/ubuntu-releases/","ftp.las.ic.unicamp.br, www.las.ic.unicamp.br, rsync.las.ic.unicamp.br",1 Gbps,N/A
Bulgaria,42 Gbps,Neterra LTD,"https://mirrors.neterra.net/ubuntu/releases/, http://mirrors.neterra.net/ubuntu/releases/, ftp://mirrors.neterra.net/ubuntu/releases/, rsync://mirrors.neterra.net/ubuntu/releases/",mirrors.neterra.net,20 Gbps,N/A
Bulgaria,42 Gbps,IPACCT,"http://ubuntu.ipacct.com/releases/, ftp://ubuntu.ipacct.com/releases/, rsync://ubuntu.ipacct.com/releases/",ubuntu.ipacct.com,10 Gbps,N/A
Bulgaria,42 Gbps,StorPool Storage,"https://mirrors.storpool.com/ubuntu/releases/, http://mirrors.storpool.com/ubuntu/releases/",mirrors.storpool.com,10 Gbps,N/A
Bulgaria,42 Gbps,Linux-BG.org,http://ubuntu.linux-bg.org/releases/,ubuntu.linux-bg.org,2 Gbps,N/A
Canada,133 Gbps,GoCodeIT Inc,"https://mirror.xenyth.net/ubuntu-releases/, http://mirror.xenyth.net/ubuntu-releases/, rsync://mirror.xenyth.net/ubuntu-releases/",mirror.xenyth.net,100 Gbps,N/A
Canada,133 Gbps,Manitoba Unix User Group,"https://muug.ca/mirror/ubuntu-releases/, http://muug.ca/mirror/ubuntu-releases/, ftp://ftp.muug.ca/mirror/ubuntu-releases/, rsync://muug.ca/ubuntu-releases/","muug.ca, ftp.muug.ca",10 Gbps,N/A
Canada,133 Gbps,Fremont Cabal Internet Exchange,"https://yxeix.mm.fcix.net/ubuntu-releases/, http://yxeix.mm.fcix.net/ubuntu-releases/, rsync://yxeux.mm.fcix.net/ubuntu-releases/","yxeux.mm.fcix.net, yxeix.mm.fcix.net",10 Gbps,N/A
Canada,133 Gbps,0xEmma,"https://mirror.0xem.ma/ubuntu-releases/, http://mirror.0xem.ma/ubuntu-releases/, rsync://mirrror.0xem.ma/ubuntu-releases/","mirror.0xem.ma, mirrror.0xem.ma",4 Gbps,N/A
Canada,133 Gbps,Team Hydra,"https://mirror.hep.gg/ubuntu-releases/, http://mirror.hep.gg/ubuntu-releases/, rsync://mirror.hep.gg/ubuntu-releases/",mirror.hep.gg,4 Gbps,N/A
Canada,133 Gbps,Fremont Cabal Internet Exchange,"https://lesnet.mm.fcix.net/ubuntu-releases/, http://lesnet.mm.fcix.net/ubuntu-releases/, rsync://lesnet.mm.fcix.net/ubuntu-releases/",lesnet.mm.fcix.net,1 Gbps,N/A
Canada,133 Gbps,University of Waterloo Computer Science Club,"https://mirror.csclub.uwaterloo.ca/ubuntu-releases/, http://mirror.csclub.uwaterloo.ca/ubuntu-releases/, ftp://mirror.csclub.uwaterloo.ca/ubuntu-releases/, rsync://mirror.csclub.uwaterloo.ca/ubuntu-releases/",mirror.csclub.uwaterloo.ca,1 Gbps,N/A
Canada,133 Gbps,Mirror.digitaloceans.dev-release,https://mirror.digitaloceans.dev/ubuntu-releases/,mirror.digitaloceans.dev,1 Gbps,N/A
Canada,133 Gbps,Dalhousie University,"https://mirror.its.dal.ca/ubuntu-releases/, http://mirror.its.dal.ca/ubuntu-releases/, rsync://mirror.its.dal.ca/ubuntu-releases/",mirror.its.dal.ca,1 Gbps,N/A
Canada,133 Gbps,Quantum,"https://mirror.quantum5.ca/ubuntu-releases/, http://mirror.quantum5.ca/ubuntu-releases/, rsync://mirror.quantum5.ca/ubuntu-releases/",mirror.quantum5.ca,1 Gbps,N/A
Chile,4 Gbps,Universidad de Chile - Direccion de Tecnologias de la Informacion,http://mirror.uchile.cl/ubuntu-releases/,mirror.uchile.cl,2 Gbps,N/A
Chile,4 Gbps,ElMirror.cl,"https://elmirror.cl/ubuntu-releases/, http://elmirror.cl/ubuntu-releases/, rsync://elmirror.cl/ubuntu-releases/",elmirror.cl,1 Gbps,N/A
Chile,4 Gbps,Universidad de La Frontera,"https://mirror.ufro.cl/ubuntu-releases/, http://mirror.ufro.cl/ubuntu-releases/, rsync://mirror.ufro.cl/ubuntu-releases/",mirror.ufro.cl,1 Gbps,N/A
China,17 Gbps,Nanyang Institute of Technology,"https://mirror.nyist.edu.cn/ubuntu-releases/, http://mirror.nyist.edu.cn/ubuntu-releases/, rsync://mirror.nyist.edu.cn/ubuntu-releases/",mirror.nyist.edu.cn,10 Gbps,N/A
China,17 Gbps,Shanghai Jiao Tong University,"https://ftp.sjtu.edu.cn/ubuntu-cd/, http://ftp.sjtu.edu.cn/ubuntu-cd/, ftp://ftp.sjtu.edu.cn/ubuntu-cd/",ftp.sjtu.edu.cn,1 Gbps,N/A
China,17 Gbps,HUAWEI CLOUD,"https://mirrors.huaweicloud.com/repository/ubuntu-releases/, http://mirrors.huaweicloud.com/repository/ubuntu-releases/",mirrors.huaweicloud.com,1 Gbps,N/A
